Stadium,Condition,Total Games,Home Wins,Home Win %
Ann Arbor,Dry,26,16,61.5
Ann Arbor,Rainy,5,5,100.0
Athens,Dry,3,3,100.0
Atlanta,Dry,3,3,100.0
Auburn,Dry,6,2,33.3
Austin,Dry,5,4,80.0
Baton Rouge,Dry,4,4,100.0
Blacksburg,Dry,8,5,62.5
Bloomington,Dry,6,6,100.0
Champaign,Dry,6,5,83.3
Clemson,Dry,4,4,100.0
College Station,Dry,5,4,80.0
Columbia,Dry,4,2,50.0
Columbus,Dry,21,21,100.0
East Lansing,Dry,4,3,75.0
Eugene,Dry,5,5,100.0
Gainesville,Dry,5,3,60.0
Iowa City,Dry,5,4,80.0
Knoxville,Dry,4,4,100.0
Lincoln,Dry,6,4,66.7
Madison,Dry,5,3,60.0
Starkville,Dry,5,1,20.0
State College,Dry,5,4,80.0
Tallahassee,Dry,5,1,20.0
Tuscaloosa,Dry,5,5,100.0
West Lafayette,Dry,5,1,20.0
